gas_flow, plasma_energy, plasma_chemistry, temp, pressure, density, resist_thickness, power, variation
100,      200,           .5,               300,  20,       10000,   50,               95,    98
102,      210,           .5,               302,  21,       10000,   50,               95,    97
104,      212,           .5,               309,  22,       10000,   50,               96,    94
107,      214,           .5,               320,  24,       10000,   50,               98,    93
109,      218,           .5,               340,  27,       10000,   50,               99,    91
111,      219,           .5,               350,  29,       10000,   50,               100,    90
114,      223,           .5,               355,  31,       10000,   50,               102,    89 
120,      225,           .5,               357,  33,       10000,   50,               103,    88 
122,      227,           .5,               359,  34,       10000,   50,               105,    87 
130,      230,           .5,               364,  33,       10000,   50,               108,    87 
140,      233,           .5,               380,  37,       10000,   50,               109,    86 
144,      237,           .5,               390,  38,       10000,   50,               119,    85 
145,      239,           .5,               410,  39,       10000,   50,               120,    84 
147,      241,           .5,               430,  40,       10000,   50,               130,    83 
149,      244,           .5,               440,  41,       10000,   50,               133,    82 
150,      245,           .5,               470,  42,       10000,   50,               135,    81 
152,      288,           .5,               490,  41,       10000,   50,               137,    80 
153,      290,           .5,               510,  43,       10000,   50,               138,    79 
155,      288,           .5,               550,  44,       10000,   50,               139,    78 
